iter	Logloss
0	0.6871713248
1	0.6809660681
2	0.6755498187
3	0.6695940966
4	0.6654704994
5	0.6611235751
6	0.6560661775
7	0.6513638603
8	0.6469230407
9	0.6423014975
10	0.6385921826
11	0.6346257002
12	0.6305775836
13	0.6269007249
14	0.6223389143
15	0.6182614609
16	0.614829307
17	0.61127675
18	0.6080038304
19	0.6047701559
20	0.60149265
21	0.5982573407
22	0.595475951
23	0.5926558677
24	0.5901150266
25	0.5869901092
26	0.5836314767
27	0.5815258486
28	0.5786860655
29	0.5760039769
30	0.5733415949
31	0.5708799723
32	0.568302709
33	0.5651424488
34	0.5630046708
35	0.5601439361
36	0.557675718
37	0.5555903324
38	0.5533740098
39	0.5507190864
40	0.5484773412
41	0.5463665058
42	0.543780333
43	0.5412505161
44	0.53973573
45	0.537446227
46	0.5356589838
47	0.533531253
48	0.5309200744
49	0.5290118052
50	0.5274078759
51	0.5251732926
52	0.5236250188
53	0.521726087
54	0.5196687317
55	0.5180886311
56	0.5166772212
57	0.5153115124
58	0.5141746605
59	0.5124162545
60	0.5108846959
61	0.5094442082
62	0.5073624618
63	0.5062535893
64	0.5044327387
65	0.5028810253
66	0.5016742479
67	0.5007249533
68	0.4991986199
69	0.4979648535
70	0.4970152157
71	0.4958252902
72	0.4944999971
73	0.4930268415
74	0.4919804548
75	0.4907931594
76	0.4897276293
77	0.4883220568
78	0.4869167443
79	0.4856668868
80	0.4844622294
81	0.4836328939
82	0.4827772892
83	0.4819117053
84	0.4812430973
85	0.4803293321
86	0.4793442255
87	0.4785528113
88	0.4777583234
89	0.4769891737
90	0.475914718
91	0.4749987794
92	0.4741254445
93	0.4730437695
94	0.471995221
95	0.471131784
96	0.4701389112
97	0.4695458419
98	0.4686851756
99	0.4678597684
100	0.4669312007
101	0.465867279
102	0.4649840406
103	0.4642063948
104	0.4630335384
105	0.4621767808
106	0.4614748441
107	0.4604590821
108	0.4594384398
109	0.4585488684
110	0.4578665949
111	0.4569529798
112	0.4563039057
113	0.4553894709
114	0.4544121666
115	0.453834259
116	0.4530126311
117	0.4518639778
118	0.4512924562
119	0.4506382872
120	0.4497950125
121	0.4488335609
122	0.4480710998
123	0.4474118828
124	0.4468580282
125	0.4461119599
126	0.4454804242
127	0.444764657
128	0.44404129	0129	0.443386130	0130	0.4427131	0.4131	0.4423603374
132	0.4417098919
