iter	Passed	Remaining
0	17	7023
1	114	22766
2	219	29000
3	293	29016
4	377	29812
5	459	30189
6	530	29778
7	600	29444
8	683	29688
9	760	29658
10	831	29408
11	909	29413
12	983	29268
13	1047	28878
14	1100	28234
15	1169	28060
16	1219	27470
17	1278	27127
18	1341	26895
19	1416	26904
20	1491	26911
21	1572	27025
22	1630	26733
23	1685	26413
24	1744	26166
25	1814	26095
26	1879	25959
27	1940	25786
28	1996	25535
29	2067	25496
30	2149	25582
31	2228	25623
32	2311	25705
33	2404	25887
34	2504	26113
35	2566	25947
36	2624	25752
37	2683	25562
38	2745	25414
39	2804	25238
40	2859	25037
41	2921	24902
42	3007	24965
43	3073	24864
44	3129	24684
45	3187	24532
46	3255	24453
47	3310	24274
48	3378	24199
49	3455	24189
50	3521	24100
51	3574	23920
52	3633	23786
53	3700	23711
54	3769	23647
55	3823	23489
56	3880	23352
57	3938	23221
58	4023	23256
59	4083	23138
60	4141	23014
61	4194	22864
62	4254	22760
63	4315	22656
64	4397	22665
65	4449	22516
66	4502	22376
67	4550	22215
68	4611	22121
69	4666	21997
70	4725	21897
71	4786	21804
72	4857	21757
73	4911	21638
74	4963	21509
75	5011	21366
76	5073	21280
77	5122	21146
78	5175	21029
79	5237	20950
80	5300	20873
81	5364	20804
82	5414	20678
83	5470	20579
84	5518	20450
85	5580	20376
86	5630	20257
87	5691	20177
88	5749	20090
89	5805	19997
90	5865	19915
91	5921	19824
92	5977	19731
93	6030	19632
94	6103	19594
95	6181	19574
96	6242	19499
97	6295	19399
98	6367	19358
99	6414	19243
100	6467	19146
101	6524	19062
102	6580	18974
103	6642	18904
104	6694	18807
105	6751	18726
106	6805	18634
107	6874	18587
108	6934	18512
109	6981	18405
110	7047	18348
111	7120	18308
112	7187	18255
113	7246	18180
114	7313	18125
115	7376	18060
116	7436	17987
117	7491	17903
118	7550	17829
119	7598	17730
120	7661	17664
121	7721	17594
122	7779	17518
123	7831	17431
124	7895	17370
125	7945	17278
126	7998	17194
127	8047	17101
128	8102	17020
129	8168	16966
130	8231	16902
131	8289	16830
132	8339	16742
133	8398	16671
134	8456	16600
135	8516	16531
136	8570	16451
137	8630	16385
138	8687	16311
139	8740	16231
140	8809	16181
141	8866	16110
142	8922	16035
143	8988	15978
144	9047	15910
145	9093	15820
146	9161	15767
147	9231	15717
148	9297	15663
149	9358	15596
150	9414	15524
151	9469	15450
152	9530	15385
153	9590	15319
154	9642	15241
155	9699	15171
156	9760	15106
157	9826	15050
158	9880	14976
159	9940	14910
160	10001	14846
161	10056	14774
162	10111	14701
163	10167	14631
164	10224	14561
165	10281	14493
166	10344	14432
167	10411	14378
168	10471	14312
169	10536	14255
170	10611	14211
171	10667	14140
172	10711	14054
173	10785	14008
174	10844	13942
175	10896	13868
176	10956	13803
177	11011	13733
178	11070	13667
179	11128	13601
180	11190	13539
181	11250	13475
182	11314	13416
183	11367	13344
184	11421	13273
185	11478	13206
186	11536	13140
187	11602	13083
188	11678	13037
189	11746	12982
190	11806	12919
191	11864	12853
192	11915	12779
193	11976	12717
194	12035	12652
195	12089	12583
196	12141	12511
197	12190	12436
198	12237	12360
199	12294	12294
200	12352	12229
201	12403	12157
202	12447	12079
203	12503	12013
204	12567	11954
205	12633	11897
206	12693	11834
207	12741	11760
208	12806	11703
209	12875	11649
210	12941	11592
211	12997	11526
212	13073	11477
213	13130	11412
214	13185	11345
215	13240	11279
216	13314	11228
217	13365	11158
218	13430	11100
219	13491	11038
220	13551	10976
221	13612	10914
222	13666	10847
223	13721	10780
224	13773	10712
225	13828	10646
226	13882	10580
227	13937	10513
228	13990	10447
229	14041	10378
230	14098	10314
231	14161	10254
232	14213	10187
233	14277	10128
234	14336	10066
235	14386	9997
236	14445	9935
237	14500	9869
238	14567	9812
239	14623	9749
240	14697	9696
241	14762	9638
242	14814	9571
243	14868	9505
244	14924	9442
245	14978	9376
246	15033	9312
247	15095	9251
248	15158	9192
249	15212	9127
250	15271	9065
251	15343	9011
252	15394	8944
253	15451	8881
254	15505	8817
255	15558	8751
256	15617	8690
257	15678	8629
258	15736	8566
259	15800	8507
260	15858	8445
261	15912	8381
262	15971	8319
263	16023	8254
264	16067	8185
265	16125	8123
266	16180	8059
267	16231	7994
268	16278	7927
269	16328	7862
270	16384	7799
271	16436	7734
272	16488	7670
273	16542	7607
274	16604	7547
275	16661	7485
276	16710	7420
277	16767	7358
278	16830	7299
279	16881	7235
280	16951	7178
281	16999	7113
282	17054	7050
283	17120	6992
284	17176	6930
285	17233	6869
286	17287	6806
287	17355	6749
288	17417	6689
289	17473	6627
290	17528	6565
291	17582	6503
292	17646	6444
293	17700	6381
294	17765	6323
295	17822	6261
296	17883	6202
297	17936	6139
298	17988	6076
299	18045	6015
300	18102	5954
301	18169	5896
302	18221	5833
303	18276	5771
304	18334	5710
305	18392	5649
306	18441	5586
307	18501	5526
308	18570	5468
309	18634	5409
310	18691	5348
311	18747	5287
312	18805	5227
313	18860	5165
314	18915	5104
315	18982	5045
316	19047	4987
317	19117	4929
318	19175	4868
319	19235	4808
320	19287	4746
321	19339	4684
322	19393	4623
323	19445	4561
324	19508	4501
325	19572	4442
326	19622	4380
327	19689	4322
328	19742	4260
329	19793	4198
330	19847	4137
331	19904	4076
332	19971	4018
333	20021	3956
334	20071	3894
335	20133	3834
336	20193	3774
337	20257	3715
338	20315	3655
339	20377	3595
340	20437	3536
341	20501	3476
342	20577	3419
343	20644	3360
344	20726	3304
345	20789	3244
346	20851	3184
347	20924	3126
348	20988	3067
349	21049	3007
350	21108	2946
351	21175	2887
352	21229	2826
353	21294	2767
354	21361	2707
355	21413	2646
356	21477	2586
357	21543	2527
358	21624	2469
359	21694	2410
360	21761	2350
361	21833	2291
362	21894	2231
363	21957	2171
364	22012	2110
365	22064	2049
366	22126	1989
367	22192	1929
368	22249	1869
369	22311	1809
370	22368	1748
371	22418	1687
372	22483	1627
373	22539	1566
374	22603	1506
375	22659	1446
376	22712	1385
377	22770	1325
378	22828	1264
379	22876	1204
380	22933	1143
381	23011	1084
382	23076	1024
383	23135	963
384	23198	903
385	23262	843
386	23323	783
387	23388	723
388	23471	663
389	23525	603
390	23578	542
391	23637	482
392	23699	422
393	23755	361
394	23813	301
395	23873	241
396	23933	180
397	23979	120
398	24020	60
399	24062	0
4355	0

